source_node_index,target_node_index,source_iz_code,target_iz_code,percentage,weight,neighbour_rank
1,20,S02001843,S02001862,0.000102875421853,0.000102875421853,12
1,48,S02001843,S02001890,9.926186703100588e-05,9.926186703100588e-05,13
1,35,S02001843,S02001877,9.510328478571246e-05,9.510328478571246e-05,14
1,19,S02001843,S02001861,7.842325843597912e-05,7.842325843597912e-05,15
1,46,S02001843,S02001888,6.318394653326016e-05,6.318394653326016e-05,16
1,76,S02001843,S02001918,6.24915115453741e-05,6.24915115453741e-05,17
1,9,S02001843,S02001851,6.243935285733739e-05,6.243935285733739e-05,18
1,55,S02001843,S02001897,5.997225193196931e-05,5.997225193196931e-05,19
1,11,S02001843,S02001853,5.9171487011740045e-05,5.9171487011740045e-05,20
1,16,S02001843,S02001858,5.7842843044043855e-05,5.7842843044043855e-05,21
1,15,S02001843,S02001857,5.762372766255548e-05,5.762372766255548e-05,22
1,90,S02001843,S02001932,5.6743919185074574e-05,5.6743919185074574e-05,23
